"number","title","pageid","namespace","length","touched"
"1","Talk:Gasoline","12596","Talk","6570","20190530195119"
"2","Talk:Government","13165","Talk","25755","20190530195535"
"3","Talk:The_Holocaust","13778","Talk","12263","20190603172447"
"4","Talk:Moctezuma_II","20748","Talk","88489","20190530195436"
"5","Talk:Perl","24819","Talk","3479","20190531072006"
"6","Talk:United_States_Declaration_of_Independence","31937","Talk","8659","20190603002547"
"7","Talk:Woodstock","33885","Talk","2692","20190530200021"
"8","Talk:Compact_disc","42931","Talk","60088","20190601143836"
"9","Talk:Elián_González","45223","Talk","11779","20190603002547"
"10","Talk:Star_Wars_(film)","53749","Talk","17183","20190603002547"
"11","Talk:Jews","55324","Talk","4055","20190527154935"
"12","Talk:Kiev","58158","Talk","3152","20190527154938"
"13","Talk:Lincoln","62652","Talk","73955","20190512163114"
"14","Talk:China","63917","Talk","13405","20190603001532"
"15","Talk:Taiwan","63931","Talk","53829","20190530200022"
"16","Talk:American_Broadcasting_Company","66272","Talk","4825","20190603002547"
"17","Talk:The_Gambia","69746","Talk","57090","20190603163236"
"18","Talk:Schutzstaffel","73130","Talk","8429","20190527154957"
"19","Talk:Georgia_(country)","74758","Talk","4382","20190530200022"
"20","Talk:The_Beatles_(album)","75492","Talk","7787","20190530195829"
"21","Talk:Queen_Victoria","77537","Talk","6387","20190530200709"
"22","Talk:Wilhelm_II,_German_Emperor","81191","Talk","7120","20190527155006"
"23","Talk:Mahatma_Gandhi","92840","Talk","9121","20190603051413"
"24","Talk:Georgia_(U.S._state)","95011","Talk","9199","20190603002548"
"25","Talk:Madonna","96589","Talk","34874","20190527155031"
"26","Talk:Palestinian_territories","97530","Talk","25379","20190530235626"
"27","Talk:Madonna_(entertainer)","142057","Talk","10156","20190603002553"
"28","Talk:Saint_Peter","148693","Talk","56652","20190603110617"
"29","Talk:Millennials","149196","Talk","130547","20190531002833"
"30","Talk:Māori_language","162951","Talk","2595","20190530195337"
"31","Talk:Elizabeth_II","165636","Talk","10893","20190603123208"
"32","Talk:Syringa","169451","Talk","43963","20190531192104"
"33","Talk:Halley's_Comet","171510","Talk","8073","20190530195549"
"34","Talk:Nazi_Party","172565","Talk","8251","20190601234226"
"35","Talk:Return_of_the_Jedi","179554","Talk","9230","20190603002553"
"36","Talk:Pluto","186148","Talk","14333","20190603134817"
"37","Talk:Sangha","189664","Talk","3002","20190531204004"
"38","Talk:Like_a_Virgin_(album)","194579","Talk","49570","20190527155401"
"39","Talk:Yogurt","209954","Talk","18034","20190527155418"
"40","Talk:Carl_Jung","210094","Talk","4361","20190530195552"
"41","Talk:The_Open_Championship","210501","Talk","116443","20190530195552"
"42","Talk:SimCity_(1989_video_game)","234851","Talk","62848","20190602202304"
"43","Talk:Pink_(singer)","255476","Talk","1412","20190530195343"
"44","Talk:Salon_(website)","256739","Talk","8486","20190530195555"
"45","Talk:Saint_Joseph","261227","Talk","7260","20190530195555"
"46","Talk:Utqiagvik,_Alaska","281732","Talk","98174","20190603002601"
"47","Talk:Jay-Z","288099","Talk","2641","20190527155539"
"48","Talk:Matzo","289784","Talk","57212","20190527155539"
"49","Talk:Eagles_(band)","295771","Talk","9814","20190601032930"
"50","Talk:Northeast_blackout_of_2003","296561","Talk","4667","20190526035021"
"51","Talk:Clinton–Lewinsky_scandal","299987","Talk","24263","20190603002603"
"52","Talk:List_of_films_considered_the_best","304832","Talk","11536","20190530195344"
"53","Talk:St_Pancras_railway_station","312431","Talk","7648","20190530195344"
"54","Talk:Zürich","312948","Talk","54062","20190530195558"
"55","Talk:List_of_Doctor_Who_episodes_(2005–present)","317499","Talk","2500","20190530195839"
"56","Talk:Peć","334643","Talk","30246","20190602064333"
"57","Talk:Cuban_Missile_Crisis","344392","Talk","94504","20190603002604"
"58","Talk:Senkaku_Islands","350197","Talk","7225","20190530195843"
"59","Talk:Stephen_Báthory","354258","Talk","49810","20190530195345"
"60","Talk:Emperor_Jimmu","356129","Talk","3358","20190527155643"
"61","Talk:Communist_International","358116","Talk","15122","20190530195601"
"62","Talk:Adam's_Bridge","360122","Talk","12604","20190603004721"
"63","Talk:Nobel_Memorial_Prize_in_Economic_Sciences","371498","Talk","109851","20190530195601"
"64","Talk:Jacqueline_Kennedy_Onassis","391846","Talk","13637","20190603051413"
"65","Talk:Democratic-Republican_Party","398636","Talk","136316","20190603002604"
"66","Talk:Cambridge","419599","Talk","15667","20190528201018"
"67","Talk:Pullman_Strike","422747","Talk","112683","20190530195145"
"68","Talk:Táin_Bó_Cúailnge","423275","Talk","33808","20190530195504"
"69","Talk:September_11_attacks","433583","Talk","13436","20190603051413"
"70","Talk:UK_Independence_Party","437707","Talk","31707","20190530195146"
"71","Talk:Mid-Atlantic_(United_States)","468841","Talk","26935","20190603002605"
"72","Talk:Arkhangelsk","491517","Talk","82865","20190530195608"
"73","Talk:Korea_under_Japanese_rule","491762","Talk","5863","20190527155845"
"74","Talk:Bangalore","497491","Talk","6913","20190530200709"
"75","Talk:Saraiki_language","509767","Talk","27185","20190530200710"
"76","Talk:Alawites","546666","Talk","113549","20190530195848"
"77","Talk:Like_a_Prayer_(album)","561163","Talk","21840","20190527155942"
