Libyan Civil War (2011) (n=18)
-----------------------  -  -----------------------  -----------------------
                         →  2011 Libyan protests     2011/1/31 23:12 ()
2011 Libyan protests     →  2011 Libyan uprising     2011/2/21 4:19 (+20d)
2011 Libyan uprising     →  2011 Libyan protests     2011/2/21 4:37 (+0d)
2011 Libyan protests     →  Libyan Revolution        2011/2/21 22:17 (+0d)
Libyan Revolution        →  2011 Libyan protests     2011/2/21 22:29 (+0d)
2011 Libyan protests     →  2011 Libyan uprising     2011/2/21 22:40 (+0d)
2011 Libyan uprising     →  2011 Libyan protests     2011/2/22 1:56 (+0d)
2011 Libyan protests     →  2011 Libyan uprising     2011/2/25 3:12 (+3d)
2011 Libyan uprising     →  2011 Libyan Revolt       2011/3/3 1:51 (+5d)
2011 Libyan Revolt       →  2011 Libyan uprising     2011/3/3 2:47 (+0d)
2011 Libyan uprising     →  2011 Libyan civil war    2011/3/29 17:17 (+26d)
2011 Libyan civil war    →  2011 Libyan revolution   2011/9/23 18:46 (+178d)
2011 Libyan revolution   →  2011 Libyan civil war    2011/9/23 18:51 (+0d)
2011 Libyan civil war    →  2011 Libyan revolution   2011/10/20 13:4 (+26d)
2011 Libyan revolution   →  2011 Libyan civil war    2011/10/20 13:7 (+0d)
2011 Libyan civil war    →  2011 Libyan revolution   2011/10/20 14:2 (+0d)
2011 Libyan revolution   →  2011 Libyan civil war    2011/10/20 14:3 (+0d)
2011 Libyan civil war    →  Libyan civil war         2012/1/25 7:23 (+96d)
Libyan civil war         →  Libyan Civil War         2013/12/2 22:1 (+677d)
Libyan Civil War         →  2011 Libyan Civil War    2014/11/1 3:39 (+333d)
2011 Libyan Civil War    →  Libyan Civil War (2011)  2014/12/2 15:55 (+31d)
Libyan Civil War (2011)  →  Libyan civil war (2011)  2016/5/14 4:31 (+528d)
Libyan civil war (2011)  →  Libyan Civil War (2011)  2016/6/1 22:22 (+18d)
-----------------------  -  -----------------------  -----------------------

Sarah Jane Brown (n=16)
-----------------------------------  -  -----------------------------------  ------------------------
                                     →  Sarah Macaulay                       2007/5/10 10:46 ()
Sarah Macaulay                       →  Sarah Brown (Prime Minister's wife)  2007/6/30 13:12 (+51d)
Sarah Brown (Prime Minister's wife)  →  Sarah Brown (spouse)                 2008/1/13 19:46 (+197d)
Sarah Brown (spouse)                 →  Sarah Brown (wife of Gordon Brown)   2010/2/15 3:48 (+763d)
Sarah Brown (wife of Gordon Brown)   →  Sarah Brown (public relations)       2010/3/31 9:33 (+44d)
Sarah Brown (public relations)       →  Sarah Brown (wife of Gordon Brown).  2010/3/31 14:30 (+0d)
Sarah Brown (wife of Gordon Brown).  →  Sarah Brown (wife of Gordon Brown)   2010/3/31 21:12 (+0d)
Sarah Brown (wife of Gordon Brown)   →  Sarah Brown (businesswoman)          2013/3/26 21:53 (+1091d)
Sarah Brown (businesswoman)          →  Sarah Brown (wife of Gordon Brown)   2013/3/26 22:14 (+0d)
Sarah Brown (wife of Gordon Brown)   →  Sarah Jane Brown                     2013/3/27 14:24 (+0d)
Sarah Jane Brown                     →  Sarah Brown (wife of Gordon Brown)   2013/3/27 14:26 (+0d)
Sarah Brown (wife of Gordon Brown)   →  Sarah Jane Brown                     2013/4/9 6:0 (+12d)
Sarah Jane Brown                     →  Sarah Brown (wife of Gordon Brown)   2013/4/9 13:27 (+0d)
Sarah Brown (wife of Gordon Brown)   →  Sarah Jane Brown                     2013/6/22 13:56 (+74d)
Sarah Jane Brown                     →  Sarah Brown (wife of Gordon Brown)   2013/6/23 3:11 (+0d)
Sarah Brown (wife of Gordon Brown)   →  Sarah Jane Brown                     2013/6/23 5:52 (+0d)
Sarah Jane Brown                     →  Sarah Brown (born 1963)              2015/5/20 0:55 (+695d)
Sarah Brown (born 1963)              →  Sarah Jane Brown                     2015/5/20 0:58 (+0d)
-----------------------------------  -  -----------------------------------  ------------------------

Genesis creation narrative (n=16)
-----------------------------  -  -----------------------------  -----------------------
                               →  Creation according to Genesis  2004/10/29 22:33 ()
Creation according to Genesis  →  Genesis creation myth          2010/2/5 16:32 (+1924d)
Genesis creation myth          →  Creation according to Genesis  2010/2/14 16:30 (+8d)
Creation according to Genesis  →  Genesis creation myth          2010/2/14 16:37 (+0d)
